input,output
வீட்டைக்கு வழி சொல்லு,நிச்சயமா. வீடு ரூட் செட் பண்ணிட்டேன். எந்த வழில போகணும்னு சொல்லுங்க. குறுகிய பாதையில போலாமா?
பாட்டு மாத்து!,"சரி, பாட்டு மாத்திட்டேன். அடுத்தது என்ன பாட்டு போடணும்னு சொல்லுங்க, இல்ல ரேண்டமா மாத்தவா?"
லைட் எல்லாம் ஆஃப் பண்ணு ரொம்ப பிரைட்டா இருக்கு.,உள்ளே இருக்க வெளிச்சத்த எல்லாம் குறைச்சிட்டேன். இன்னும் கொஞ்சம் குறைக்கணும்னா சொல்லுங்க.
ஜன்னல திற!,ஜன்னல திறக்கிறேன். கொஞ்சம் காத்து வரட்டும். சுத்தமான காத்து ரொம்ப முக்கியம்.
எனக்கு குளிர் எடுக்குது.,"ஓ, குளிரா இருக்கா? ஹீட்டர் போடட்டுமா? சீட் ஹீட்டர் வேணுமா?"
வால்யூம குறை!,வால்யூம குறைச்சிட்டேன். எவ்ளோ வைக்கனும்னு சொல்லுங்க. கம்மியா? இல்ல அதிகமா?
நான் ரொம்ப பயந்து போயிட்டேன்!,"பயப்படாதீங்க, நான் இருக்கேன். ஒரு நல்ல செய்தி கேளுங்களா? இல்ல மெதுவா பேசட்டுமா?"
வெளியில ரொம்ப இருட்டா இருக்கு,ஹெட்லைட் போட்டுருக்கேன். fog லைட் வேணுமா?
ரேடியோ ஸ்டேஷன் மாத்து,மாத்திட்டேன்! உங்களுக்கு புடிச்ச ஸ்டேஷன் எதுவுன்னா சொல்லுங்க
சத்தமா ஏதாச்சும் பாட்டு போடு,சத்தமா ஒரு குத்து பாட்டு போடட்டுமா? உங்களுக்கு என்ன மாதிரி பிடிக்கும்?
ஹோம் தெரேபிக்கு கால் பண்ணு,சரி டாக்டர் நம்பருக்கு கால் பண்ணிட்டேன். லவுட்ஸ்பீக்கர் ஆன் பண்ணட்டுமா?
நிப்பாட்டு!,"சரி, நிப்பாட்டிட்டேன். ஏதாச்சும் பிரச்சனையா?"
முன்னாடி போகாதே!,சரி முன்னாடி போகல. வேற வழில போகலாமா?
எனக்கு தூக்கம் வருது,ஓ தூக்கம் வருதா? சீட் கொஞ்சம் சாய்க்கட்டுமா? அப்பாலார்ம் வெக்கட்டா?
ஃபியூவல் எவ்வளவு இருக்கு?,அரை டேங்க் இருக்கு. பக்கத்துல பெட்ரோல் பங்க் இருக்கான்னு பாக்கட்டா?
நிறைய பேசாதே!,சரி பேசல. உங்களுக்கு என்ன தேவையோ சொல்லுங்க.
"ஐயோ, ரொம்ப டயர்டா இருக்கு. ஏதாவது பண்ணு கார்!","ரொம்ப களைப்பா இருக்கியா? கவலைப்படாதே. சீட் கொஞ்சம் சாய்க்கவா? மெதுவான பாட்டு போடட்டுமா? அது உனக்கு வசதியா இருக்கும். கொஞ்சம் இரு, நான் சீட் சாய்க்கிறேன், பாட்டும் போடறேன்."
சந்தோஷமா இருக்கு! எனக்குப் பிடிச்ச பாட்டு போடு!,"சூப்பர்! சந்தோஷமா இருக்கியா? உனக்குப் பிடிச்ச பாட்டு போடறேன். என்ன பாட்டு வேணும்னு சொல்லு, இல்லன்னா நான் உன்னோட பிளேலிஸ்ட்ல இருந்து போடட்டுமா?"
ரொம்ப டென்ஷனா இருக்கு. வீட்டுக்கு சீக்கிரமா போகணும்.,"டென்ஷனா இருக்கியா? பரவாயில்லை. வீட்டுக்கு வேகமா போகலாம். டிராஃபிக் அதிகமா இருக்கான்னு பார்த்துக்கிட்டு, வேகமா போக ஒரு ரூட் கண்டுபிடிக்கிறேன். கொஞ்சம் பொறு."
ஏசி போடு ரொம்ப வெக்கையா இருக்கு.,"உனக்கு ரொம்ப வெக்கையா இருக்கா? ஏசி போடுறேன். உனக்கு எவ்வளவு டெம்பரேச்சர் வேணும்னு சொல்லு, இல்லன்னா நானே ஆட்டோமேட்டிக்கா செட் பண்ணவா?"
சூப்பரா இருக்கு! இந்த லைட்டிங் நல்லா இருக்கு!,"உனக்குப் பிடிச்சிருக்கா? சந்தோஷம்! கலர் மாத்தணுமா, இல்ல இதுவே ஓகேவா?"
எனக்கு தூக்கம் வருது. விண்டோவ தொற!,தூக்கம் வருதா? ஜன்னலைத் திறக்கிறேன். பிரஷ்ஷான காத்து வந்தா கொஞ்சம் பெட்டரா இருக்கும். மெதுவா ஓட்டட்டுமா?
சில்லிங்குனு இருக்கு. ஹீட்டர ஆன் பண்ணு.,குளிர் அதிகமாக இருக்கா? ஹீட்டர ஆன் பண்றேன். எவ்வளவு டெம்பரேச்சர் வேணும்னு சொல்லு.
பேசாம ஒரு லாங் டிரைவ் போகலாம் போல இருக்கு.,"லாங் டிரைவா? சூப்பர் ஐடியா! எங்க போகலாம்? உனக்குப் பிடிச்ச இடத்தை சொல்லு, நான் நேவிகேஷன் செட் பண்ணுறேன்."
என்னோட போன் சார்ஜ் இல்லாம இருக்கு.,உன் போன் சார்ஜ் இல்லாம இருக்கா? இதோ சார்ஜ் பண்றதுக்கு பாயிண்ட் இருக்கு. போனை கனெக்ட் பண்ணு.
ஒரு முக்கியமான கால் அட்டென்ட் பண்ணனும். ஸ்பீக்கர்ல போடு.,நிச்சயமா! கால் ஸ்பீக்கர்ல போடறேன். கவனமா பேசு.
எனக்கு போர் அடிக்குது. ஏதாவது காமெடி பாட்டு போடு.,போர் அடிக்குதா? காமெடி பாட்டு போடறேன். உனக்கு பிடிச்ச காமெடியன் பாட்டு போடட்டுமா?
கடைசியா எங்க போயிட்டு வந்தோம்னு ஞாபகம் இருக்கா?,கடைசியா நீ மாமல்லபுரம் போயிட்டு வந்திருக்க. ஞாபகம் இருக்கா?
சத்தமா பாட்டு போடு!,சத்தமா பாட்டு போடட்டா? பக்கத்துல யாராவது இருந்தா தொந்தரவா இருக்கும். கொஞ்சம் சத்தமா போடறேன்.
நாளைக்கு ஆபிஸ் போக சரியான ரூட் சொல்லு.,நாளைக்கு ஆபிஸ் போறதுக்கு சரியான ரூட் இதோ. டிராஃபிக் அதிகமா இருக்கான்னு பார்த்துக்கிறேன்.
கண்ணாடி ரொம்ப மங்குலா இருக்கு. துடை.,கண்ணாடி மங்குலா இருக்கா? விண்ட்ஷீல்ட் வைப்பர் ஆன் பண்றேன். சரியா இருக்கான்னு பாரு.
லேசா தலை வலிக்குது.,உனக்கு தலைவலியா? ஏசி கொஞ்சம் கம்மி பண்ணவா? பிரெஷ்ஷான காத்து வர மாதிரி விண்டோ திறக்கவா?
கார் பார்க்கிங்ல நிக்கலன்னு நினைக்கிறேன்.,"பார்க்கிங்ல நிக்கலையா? சரி, நான் சரியா பார்க் பண்றேன். கொஞ்சம் பொறு."
எனக்கு ஒரு காபி சாப்பிடணும் போல இருக்கு.,காபி குடிக்கணுமா? பக்கத்துல காபி ஷாப் எங்க இருக்குன்னு பார்க்கிறேன். உனக்கு பிடிச்ச கடை ஏதாவது இருக்கா?
ரொம்ப ஆக்ரோஷமா இருக்கு! அமைதியான பாட்டு போடு.,ரொம்ப ஆக்ரோஷமா இருக்கியா? அமைதியான பாட்டு போடுறேன். அமைதியா இரு.
பாட்டு மாத்து.,பாட்டு மாத்தணுமா? அடுத்த பாட்டு போடறேன். உனக்கு இந்த மாதிரி பாட்டு பிடிக்குமா?
எனக்கு ரொம்ப டயர்டா இருக்கு.,"புரிஞ்சது. கொஞ்சம் ரெஸ்ட் எடுக்கணுமா? லைட்ஸை டிம் பண்ணிட்டு, சாஃப்டான மியூசிக் போடட்டுமா? சீட்டை கொஞ்சம் சாய்க்கட்டுமா?"
ரொம்ப சந்தோஷமா இருக்கேன்!,சூப்பர்! அப்போ கொஞ்சம் ஜாலியான பாட்டு போடட்டுமா? சன்ரூஃபைத் திறக்கவா? இந்த சந்தோஷம் அப்படியே இருக்கணும்!
எனக்கு பயங்கர டென்ஷனா இருக்கு.,டென்ஷனா இருக்கீங்களா? ஒன்னும் பிரச்சனை இல்ல. கொஞ்சம் ஆழமா மூச்சு விடுங்க. நான் லேவண்டர் வாசனை ஸ்ப்ரே பண்ணட்டுமா? டிராஃபிக் இல்லாத வழியில போகலாம்.
ஏசி போடு,கண்டிப்பா. ஏசி போட்டாச்சு. இப்ப கொஞ்சம் கூலிங்கா இருக்கா?
வெப்பநிலையை 24 டிகிரில வை,வெப்பநிலை 24 டிகிரில செட் பண்ணியாச்சு.
விண்டோவை இறக்கு,"சரி, விண்டோ இறக்கியாச்சு. ஃபிரெஷ் காத்து நல்லா இருக்கா?"
ஒரு நல்ல பாட்டு போடு,கண்டிப்பா! உங்க ரசனைக்கு ஏத்த மாதிரி ஒரு சூப்பரான பாட்டு போடுறேன். எப்படி இருக்கு?
கோயம்பேடு மார்க்கெட்டுக்கு வழி சொல்லு,கோயம்பேடு மார்க்கெட்டுக்கா? வழிய காமிக்கிறேன். ட்ராஃபிக் கொஞ்சம் ஜாஸ்தியா இருக்கும். 45 நிமிஷம் ஆகும்.
எனக்கு தூக்கம் வருது,"தூக்கம் வருதா? பரவாயில்லை. பாதுகாப்பா ஓட்டுறதுக்கு நான் அலர்ட் பண்ணிட்டே இருக்கேன். வேணும்னா, காஃபியோ டீயோ சொல்லவா?"
லைட்ஸ் பிரைட்டா வை,லைட்ஸ் பிரைட் ஆக்கியாச்சு. இப்போ வெளிச்சம் ஓகேவா?
ரொம்ப கவலையா இருக்கு.,"கவலையா இருக்கீங்களா? என்ன ஆச்சு சொல்லுங்க. நான் உங்களுக்கு ஒரு நல்ல புத்தகம் படிக்கட்டுமா? இல்ல, ஹெட்போன் போட்டு அமைதியா பாட்டு கேட்கட்டுமா?"
ஹீட்டரை ஆன் பண்ணு,ஹீட்டர் போட்டாச்சு. இப்ப கொஞ்சம் வார்மா இருக்குமா?
வால்யூமை கம்மி பண்ணு,வால்யூம் கம்மி பண்ணியாச்சு. இப்போ சரியா இருக்கா?
சன்ரூஃபைத் திற,சன்ரூஃப் திறந்தாச்சு. வெளிச்சம் நல்லா இருக்கா?
பாட்டை மாத்து,"சரி, பாட்டு மாத்தியாச்சு. இந்த பாட்டு பிடிச்சிருக்கா?"
பேட்டரி லோவா இருக்குன்னு சொல்லுது. பக்கத்துல சார்ஜிங் ஸ்டேஷன் எங்க இருக்கு?,"ஆமா, பேட்டரி கம்மியா இருக்கு. பக்கத்துல ஒரு சார்ஜிங் ஸ்டேஷன் இருக்கு. அங்க போகட்டுமா?"
ஃபேன் ஸ்பீடை அதிகப்படுத்து,ஃபேன் ஸ்பீடு அதிகப்படுத்தியாச்சு. நல்லா காத்தடிக்குதா?
எனக்கு ரொம்ப ஆச்சரியமா இருக்கு!,ஆச்சரியமா இருக்கீங்களா? ஏன் என்ன விஷயம்? சொல்லுங்க கேட்கலாம்! உங்களுக்குப் பிடிச்ச ஒரு காமெடி போட்காஸ்ட் போடட்டுமா?
மீட்டரை ரீசெட் பண்ணு,மீட்டர் ரீசெட் பண்ணியாச்சு.
அடுத்த மியூசிக் பிளேலிஸ்ட் போடு,அடுத்த பிளேலிஸ்ட் போட்டாச்சு. இது நல்லா இருக்கா?
எனக்கு ரொம்ப டயர்டா இருக்கு.,புரிஞ்சுது. கொஞ்ச நேரம் ரிலாக்ஸ் பண்ணுங்க. சீட்டை லைட்டா சாய்க்கவா? அதுக்கு ஏத்த மாதிரி சாஃப்டான மியூசிக் போடவா?
சந்தோஷமா இருக்கு! சூப்பரான பாட்டு போடு!,வாங்க சந்தோஷமா கொண்டாடுவோம்! உங்களுக்கு பிடிச்ச குத்து பாட்டு ப்ளே பண்ணவா? லைட்ஸ் எல்லாம் டான்ஸ் ஆடுற மாதிரி மாத்தவா?
ரொம்ப டென்ஷனா இருக்கு. கொஞ்சம் கூலா ஆகணும்.,தெரியுது. ஆழ்ந்த சுவாசம் எடுத்துக்கோங்க. லைட்ஸை நீல நிறத்துக்கு மாத்தட்டுமா? ஏசியை கொஞ்சம் கூலாக்கட்டுமா?
ஜன்னலைத் திற.,சரி. ஜன்னல் திறக்கிறேன். கொஞ்சம் காத்து வரட்டும்.
ஏசியை கொஞ்சம் அதிகமா வை.,ஏசியை அதிகமா வைக்கிறேன். இப்ப பரவாயில்லையா?
ஹீட்டரை போடு. குளிர் அடிக்குது.,உடனே ஹீட்டரை போடுறேன். கொஞ்சம் சூடு ஏறுற வரைக்கும் வெயிட் பண்ணுங்க.
வீட்டுக்கு வழி சொல்லு.,"நிச்சயமாக. வீட்டுக்கு வழி சொல்லுறேன். உங்க வழக்கமான வழியில போகவா, இல்ல புது வழியில போகவா?"
மியூசிக் ஆஃப் பண்ணு.,"சரி, மியூசிக் ஆஃப் பண்ணியாச்சு. வேற ஏதாவது வேணுமா?"
லைட்டை கொஞ்சம் பிரைட்டா வை.,லைட்டை பிரைட்டா வெச்சிட்டேன். எப்படி இருக்கு?
சத்தம் அதிகமா இருக்கு. கம்மி பண்ணு.,சத்தத்தை கம்மி பண்ணிட்டேன். ஓகேவா?
எனக்கு பசிக்குது. பக்கத்துல சாப்பாட்டு கடை எங்க இருக்குன்னு பாரு.,"பசிக்குதா? இதோ பக்கத்துல இருக்குற நல்ல ஹோட்டல் லிஸ்ட். பிரியாணி சாப்பிடப் போறீங்களா, இல்ல தோசை சாப்பிடப் போறீங்களா?"
தூக்கம் வருது.,தூக்கம் வருதா? கொஞ்ச நேரம் சைடுல வண்டி நிறுத்தவா? இல்லன்னா காஃபிக்கடை தேடட்டுமா?
குழப்பமா இருக்கு. ஒரு நல்ல மோட்டிவேஷனல் ஸ்பீச் போடு.,உங்களுக்காக ஒரு மோட்டிவேஷனல் ஸ்பீச் போடறேன். கேட்கும்போது நல்லா இருக்கும்.
ரொம்ப சோகமா இருக்கு.,உங்களுக்கு ரொம்ப கஷ்டமா இருக்குன்னு புரியுது. மெதுவான பாட்டு போடவா? இல்ல உங்களோட ஃப்ரெண்டுக்கு கால் பண்ணவா?
விண்டோவை மூடு. மழை வருது.,மழை பெய்யுதா? ஜன்னல மூடிட்டேன்.
வெயில் கொளுத்துது. ஏசியை ஃபுல்லா வை.,வெயில் ரொம்ப அதிகமா? ஏசியை ஃபுல்லா வெச்சிட்டேன். இன்னும் ஏதாவது வேணுமா?
அவசரமா ஹாஸ்பிடல் போகணும். வழி சொல்லு.,ஹாஸ்பிடலுக்கா? பக்கத்துல இருக்குற ஹாஸ்பிடல் போக வழி சொல்லுறேன். வேகமா போலாம்.
டிராஃபிக் ஜாமா இருக்குமா?,கொஞ்சம் டிராஃபிக் இருக்கத்தான் செய்யும். வேற வழியில போகவா?
லைட் கலரை மாத்து.,எந்த கலர் வேணும் சொல்லுங்க... மாத்தலாம்!
"சினிமா பாட்டு வேணாம், பக்தி பாட்டு போடு.","சினிமா பாட்டு ஆஃப் பண்ணிட்டு, பக்தி பாட்டு போடறேன். எந்த சாமி பாட்டு வேணும்?"
"ஐயோ, இன்னைக்கு ரொம்ப டயர்டா இருக்கு",பரவாயில்லைங்க. உங்களுக்கு ஒரு சூடான காபி எடுத்து தரேன். சாஃப்ட் மியூசிக் போடட்டுமா? சீட்டை கொஞ்சம் சாச்சுக்கோங்க.
ரொம்ப சந்தோஷமா இருக்கு! ஒரு எனர்ஜெட்டிக்கான பாட்டு போடு,சூப்பர்! ஒரு குத்து பாட்டு போடறேன். விண்டோவை திறக்கட்டுமா? காத்து நல்லா இருக்கும்.
தலை பயங்கரமா வலிக்குது. லைட்ட டிம் பண்ணு ப்ளீஸ்,கண்டிப்பா. லைட்ட டிம் பண்ணிட்டேன். இன்னும் கொஞ்சம் வெளிச்சத்தை குறைக்கட்டுமா? மெதுவா போகட்டுமா?
எனக்கு பயமா இருக்கு. கொஞ்சம் வேகமா போக முடியுமா?,உங்களுக்கு தைரியம் சொல்றேன். பயப்படாதீங்க. டிராஃபிக் கொஞ்சம் ஹெவியா இருக்கு. வேகமா போறது சேஃப் இல்ல. ஆனா சீக்கிரமா போறதுக்கு வேற ரூட் பாக்கறேன்.
ஏசி போடு. ரொம்ப வேர்க்குது,ஏசி போட்டாச்சு. 22 டிகிரிக்கு செட் பண்ணிருக்கேன். கம்ஃபர்ட்டா இருக்கா?
ரொம்ப குளிர்ரா இருக்கு. ஹீட்டர் போடு,ஹீட்டர் போடறேன். டெம்பரேச்சர் கொஞ்சம் ஏத்திருக்கேன். தேவைப்பட்டா சொல்லுங்க மாத்திக்கலாம்.
இந்த டிராஃபிக்ல ரொம்ப டென்ஷனா இருக்கு. ஒரு ரிலாக்சிங்கான பாட்டு போடு,உங்க மனசை அமைதி படுத்த ஒரு ரிலாக்சிங்கான பாட்டு போடறேன். ஆழ்ந்த மூச்சு எடுத்துக்கோங்க. எல்லாம் சரியாகிடும்.
ஜன்னலைத் திற,ஜன்னல் திறக்கறேன். சுத்தமான காத்து உள்ள வரட்டும்.
ஜன்னலை மூடு. மழை வர மாதிரி இருக்கு,ஜன்னல் மூடிட்டேன். விண்ட்ஷீல்ட் வைப்பர் ஆன் பண்ணவா?
புதுசா ஒரு ஊருக்கு போகணும். அட்ரஸ் சொல்லட்டுமா?,தாராளமா சொல்லுங்க. நான் நேவிகேஷன் செட் பண்ணிடறேன்.
மியூசிக் கொஞ்சம் சத்தமா வை,சத்தம் அதிகமாக்கிட்டேன். இன்னும் கொஞ்சம் வேணுமா?
மியூசிக் குறை,மியூசிக் வால்யூம குறைச்சிட்டேன். சரியா இருக்கா?
வண்டிக்கு பெட்ரோல் இருக்கான்னு பாரு,"இப்போதைக்கு 100 கிலோமீட்டர் போறதுக்கு பெட்ரோல் இருக்கு. ஆனா, பக்கத்துல ஒரு பெட்ரோல் பங்க் இருக்கு. போகட்டுமா?"
நாளைக்கு ஆபீஸுக்கு காலையில 7 மணிக்கு போகணும். ரிமைண்டர் வை,"சரி, நாளைக்கு காலைல 7 மணிக்கு ஆபீஸுக்கு போகணும்னு ரிமைண்டர் வச்சிட்டேன்."
எவ்வளவு நேரம் ஆகும் அந்த இடத்தை அடையறதுக்கு?,இப்போதைக்கு 30 நிமிஷம் ஆகும்னு காட்டுது. டிராஃபிக்க பொறுத்து மாறலாம்.
சரியா போகறோமா இல்ல வேற ரூட் இருக்கா?,"சரியா தான் போயிட்டு இருக்கோம். ஆனா, ஒரு ஷார்ட்கட் இருக்கு. போடட்டுமா?"
சிரிப்பா வருது. ஏதாவது ஜோக் சொல்லு,"ஒரு நிமிஷம்... என்கிட்ட ஒரு ஜோக் இருக்கு. 'டாக்டர்: நீங்க ஏன் இப்படி தும்மிக்கிட்டே இருக்கீங்க? நோயாளி: எனக்கு தெரியல டாக்டர், அதுதான் உங்கள பாக்க வந்திருக்கேன்!'. எப்படி இருக்கு?"
லைட் எல்லாம் சரியா இருக்கான்னு பாரு,"எல்லா லைட்டும் சரியா வேலை செய்யுது. ஹெட்லைட், டெயில் லைட் எல்லாம் ஓகே."
போன் பண்ணனும். ப்ளூடூத் கனெக்ட் பண்ணு,ப்ளூடூத் கனெக்ட் பண்ணிட்டேன். யாரை கூப்பிடணும் சொல்லுங்க.
கார் பார்க்கிங் தேடணும்,உங்க பக்கத்துல மூணு பார்க்கிங் ஸ்பாட்ஸ் இருக்கு. எதுக்கு போகலாம்?
"ஐயோ, எனக்கு ரொம்ப களைப்பா இருக்கு","சோர்வா இருக்கீங்களா? பரவாயில்லை, சீட் கொஞ்சம் சாச்சுக்கவா? மெதுவா மசாஜ் பண்ணவா? கூடவே ஒரு இனிமையான பாட்டு போடவா?"
சூப்பரா இருக்கு! ரொம்ப சந்தோஷமா இருக்கேன்!,சந்தோஷமா இருக்கீங்களா? நானும் சந்தோஷப்படறேன்! நல்லா இருக்கற மாதிரி வால்யூமை கொஞ்சம் கூட்டவா? சன்ரூஃப் திறக்கவா?
எனக்கு டென்ஷனா இருக்கு. சீக்கிரம் வீட்டுக்கு போகணும்.,டென்ஷனா இருக்கீங்களா? வீட்டுக்கு வழி போடுறேன். கொஞ்சம் அமைதியான பாட்டு போடவா? இல்லாட்டி நான் ஓட்டவா? நீங்க சும்மா ரெஸ்ட் எடுங்க.
"ஏசி போடு, ரொம்ப வேர்க்குது.",நிச்சயமா! ஏசி போட்டாச்சு. டெம்பரேச்சர் இருபத்தி ரெண்டு டிகிரில வைக்கட்டா?
சன்னலை மூடு. காத்து அதிகமா இருக்கு.,"ஓகே, ஜன்னல் மூடியாச்சு. சரியா இருக்கா?"
பாட்டு போடு. நல்ல பாட்டா கேளு.,கண்டிப்பா! உங்க விருப்பமான பாடல்கள்ல இருந்து நல்ல பாட்டா ஒன்னு போடுறேன். வேற ஏதாவது வேணுமா?
ஹீட்டரை போடு. ரொம்ப குளிருது.,உடனே ஹீட்டர் போடறேன். சீட்டுக்கும் சூடு ஏத்தவா?
லைட் கொஞ்சம் டின் பண்ணு. கண்ணு கூசுது.,உள்ள இருக்க லைட் கொஞ்சம் மங்கலா ஆக்கிட்டேன். இப்ப சரியா இருக்கா?
எங்க அம்மா வீட்டுக்கு வழி சொல்லு.,அம்மா வீட்டுக்கு வழிய ஆரம்பிக்கவா? போக வேண்டிய நேரம் ஒரு மணி நேரம் இருபது நிமிஷம் ஆகும்.
கொஞ்சம் வேகமா போ.,கொஞ்சம் வேகமா போகவா? பார்த்து போகணும். பாதுகாப்பு முக்கியம்.
பிரேக் பிடி!,பிரேக் பிடிச்சாச்சு! எல்லாரும் பத்திரமா இருக்காங்களா?
எனக்கு தூக்கம் வருது.,தூக்கம் வருதா? கொஞ்சம் காபி குடிக்கவா? இல்லன்னா நான் ஓட்டவா?
வண்டிய ஓரமா நிறுத்து.,வண்டிய ஓரமா நிறுத்தட்டுமா? எங்க நிறுத்தணும்னு சொல்லுங்க.
சவுண்ட கம்மி பண்ணு.,சவுண்ட கொஞ்சம் குறைச்சுட்டேன். இப்ப ஓகே வா?
இந்த பாட்டு பிடிக்கல. வேற பாட்டு போடு.,உடனே மாத்திடறேன். வேற என்ன பாட்டு போடணும் சொல்லுங்க?
நான் ரொம்ப கோவமா இருக்கேன்.,கோவமா இருக்கீங்களா? ஒன்னும் பிரச்சனை இல்ல. ஆழமா சுவாசிங்க. ரிலாக்ஸ் பண்ற மாதிரி ஏதாவது பண்ணவா?
எனக்கு ஆச்சரியமா இருக்கு!,ஆச்சரியமா இருக்கா? நல்ல விஷயம் தானே? ஸ்பீக்கர்ல கொஞ்சம் பலமான பாட்டு போடவா?
வழி தப்பிட்டேன்.,வழி தப்பிட்டீங்களா? கவலைப்படாதீங்க. நான் சரியான வழிய காமிக்கிறேன். திரும்ப சரியான ரூட்டுக்கு செட் பண்ணவா?
பேட்டரி எவ்வளவு இருக்கு?,பேட்டரி எழுவது சதவீதம் இருக்கு. இன்னும் கொஞ்ச தூரம் போகலாம்.
லைட் ஆஃப் பண்ணு. வீட்டுக்கு வந்துட்டேன்.,ஓகே. லைட் ஆஃப் பண்ணிட்டேன். பத்திரமா இருங்க.
எனக்கு ரொம்ப டயர்டா இருக்கு,"தெரியுது, நீங்க ரொம்ப கலைப்பா இருக்கீங்க. சீட் கொஞ்சம் சாயட்டுமா? Ambient லைட்டிங் அமைதியா மாத்திட்டு, ரிலாக்ஸ் பண்ற மியூசிக் போடட்டுமா?"
ஏசி கொஞ்சம் குறை,"சரி, ஏசிய குறைச்சிட்டேன். இப்ப ஓகே வா?"
எனக்கு ரொம்ப சந்தோஷமா இருக்கு!,அப்படியா! என்ன விஷயம்? சந்தோஷமா இருங்க! நல்ல எனர்ஜியான பாட்டு போடட்டுமா?
இந்த வெயில்ல சூடா இருக்கு. ஜன்னலை மூடு,ஜன்னலை மூடிட்டேன். ஏசிய கொஞ்சம் கூட்டவா?
நான் ரொம்ப ஸ்ட்ரெஸ்ஸா இருக்கேன்.,"புரிஞ்சுக்குறேன். ஆழ்ந்த மூச்சு எடுங்க. உங்களுக்குப் பிடிச்ச கோவிலுக்கு நேவிகேஷன் போடட்டுமா? இல்லனா, ரிலாக்ஸிங் மியூசிக்?"
பாட்டு போடு,"என்ன பாட்டு வேணும்? உங்களுக்குப் பிடிச்ச ஒரு லிஸ்ட் இருந்தா சொல்லுங்க, இல்லனா ரேண்டமா போடட்டுமா?"
லைட்ஸ கொஞ்சம் பிரைட்டா ஆக்கு,லைட்ஸ் பிரைட்டாக்கிட்டேன். ஓகே வா?
வீட்டுக்கு நேவிகேஷன் போடு,வீட்டுக்கு நேவிகேஷன் ஆரம்பிச்சிட்டேன். எவ்வளவு நேரத்துல போய்ச் சேரலாம்னு சொல்றேன்.
எனக்கு குளிருது. ஹீட்டர் போடு,உடனே ஹீட்டர் போடுறேன். டெம்பரேச்சர் உங்களுக்கு ஏத்த மாதிரி மாத்திக்கோங்க.
எனக்கு தூக்கம் வருது...,"நீங்க டயர்டா இருக்கீங்க. பக்கத்துல ரெஸ்ட் ஏரியா இருக்கு. அங்க போறதுக்கு நேவிகேஷன் போடட்டுமா? இல்லனா, ஒரு கப் காபி சாப்பிட நிறுத்துறதுக்கு?"
டெம்பரேச்சர 24 டிகிரிக்கு மாத்து,24 டிகிரிக்கு மாத்திட்டேன். சரியா இருக்கா?
சத்தமா பாட்டு போடு,"சத்தமா போடலாம், ஆனா அதிகமா சத்தம் போட்டா உங்களுக்கு கஷ்டமா இருக்கும். சரியா?"
நான் பயத்துல இருக்கேன்,"பயப்படாதீங்க. நான் உங்ககூட இருக்கேன். உங்க ஃபேமிலி யாராவது ஒருத்தருக்கு கால் பண்ணட்டுமா? இல்லன்னா, உங்க ஃபிரெண்டுக்கு?"
ஜன்னலை கொஞ்சம் திற,கொஞ்சம் திறந்துட்டேன். காத்து வரதுக்காக.
ஏசி ரொம்ப அதிகமா இருக்கு,"சாரி, ஏசி கொஞ்சம் குறைச்சிட்டேன். இப்ப எப்படி இருக்கு?"
அடுத்த சாங்க்கு மாத்து,"சரி, அடுத்த சாங்க்கு மாத்திட்டேன். இது புடிச்சிருக்கா?"
நான் ரொம்ப கோவமா இருக்கேன்!,கோவப்படாதீங்க. என்ன ஆச்சு? உங்களுக்குப் பிடிச்ச அமைதியான இடத்துக்கு நேவிகேஷன் போடட்டுமா? மனசு அமைதி ஆகுறதுக்காக.
லைட்ட கொஞ்சம் டிம் பண்ணு,லைட்ஸ் கொஞ்சம் டிம் பண்ணிட்டேன்.
நான் ஊருக்குப் போகனும்,"சரி, ஊருக்கு நேவிகேஷன் போடுறேன். சீக்கிரமா போய்ச் சேர்ந்துரலாம்."
மியூசிக் ஆஃப் பண்ணு,"சரி, மியூசிக் ஆஃப் பண்ணிட்டேன்."
"ஐயோ, இன்னைக்கு ரொம்ப டயர்டா இருக்கு.",பரவாயில்லைங்க. கொஞ்ச நேரம் ரெஸ்ட் எடுங்க. சீட் கொஞ்சம் சாய்க்கவா? லைட்டா மியூசிக் போடவா? மனச அமைதியா வெச்சுக்கோங்க.
சூப்பரா இருக்கு! ரொம்ப சந்தோஷமா இருக்கேன்!,அப்படியா! உங்க சந்தோஷத்துல நானும் கலந்துக்கறேன்! பாட்டை கொஞ்சம் சத்தமா போடவா? ரூஃப் டாப் திறக்கவா?
ரொம்ப டென்ஷனா இருக்கு. சீக்கிரம் வீட்டுக்குப் போகணும்.,டென்ஷன் ஆகாதீங்க. நான் பத்திரமா வீட்டுக்குக் கொண்டு போறேன். ஜிபிஎஸ் ஆன் பண்ணிட்டேன். சீக்கிரம் போயிடலாம். லைட்டா மசாஜ் போடவா?
ஜன்னலைத் திற.,உங்க விருப்பம்! ஜன்னலைத் திறக்கிறேன். கொஞ்சம் காற்று வரட்டும்.
ஏசி போடு. ரொம்ப வேர்க்குது.,நிச்சயமா! ஏசி போட்டாச்சு. இருபத்தி ரெண்டு டிகிரிக்கு செட் பண்ணிருக்கேன். ஓகேவா?
