input_te,output_te,input_en,output_en
నాకు ఒక జోక్ చెప్పండి.,"సరే, ఇదిగో ఒక జోక్. ఒక చేప ఏమి చెబుతుంది గోడకు గుద్దుకున్నప్పుడు? డ్యామ్!",Tell me a joke.,"Okay, here's a joke. What did the fish say when it hit the wall? Dam!"
ఫ్రంట్ లైట్లు ఆన్ చేయండి.,"సరే, ఫ్రంట్ లైట్లు ఆన్ చేశాను.",Turn on the front lights.,"Okay, I have turned on the front lights."
నేను భయపడుతున్నాను.,"మీరు భయపడుతున్నారని వినడానికి నాకు విచారంగా ఉంది. నావిగేషన్ ఆన్ చేసి, మీకు తెలిసిన మార్గం గుండా వెళ్లనా?",I am scared.,I am sorry to hear you are scared. Shall I turn on navigation and go through a familiar route?
ఏసీ ఆఫ్ చేయండి.,"సరే, ఏసీ ఆఫ్ చేశాను.",Turn off the AC.,"Okay, I have turned off the AC."
సన్ రూఫ్ తెరవండి.,"సరే, సన్ రూఫ్ తెరుస్తున్నాను.",Open the sunroof.,"Okay, I am opening the sunroof."
హోమ్ కి నావిగేట్ చేయండి.,"సరే, ఇంటికి నావిగేషన్ ప్రారంభిస్తున్నాను.",Navigate home.,"Okay, I am starting navigation to home."
నేను చాలా సంతోషంగా ఉన్నాను!,మీరు సంతోషంగా ఉండటం నాకు చాలా ఆనందంగా ఉంది! మనం మీ ఇష్టమైన పాటలు ప్లే చేద్దామా?,I am very happy!,I am very happy to hear that you are happy! Shall we play your favorite songs?
నాకు చాలా అలసిపోయి ఉంది.,మీరు అలసిపోయి ఉన్నారని తెలుసుకున్నాను. సీటును కొంచెం వెనక్కి వాల్చాలా మరియు లైట్లను మసకబారించాలా?,I am very tired.,I understand that you are tired. Should I recline the seat a little and dim the lights?
సంగీతం ప్లే చెయ్యి.,"ఖచ్చితంగా, ఎలాంటి సంగీతం వినాలనుకుంటున్నారు?",Play some music.,"Sure, what kind of music would you like to listen to?"
"కాస్త చల్లగా ఉంది, ఏసీ కొంచెం తగ్గించు.","సరే, ఏసీని తగ్గిస్తున్నాను. ఉష్ణోగ్రతను ఎంతకు సెట్ చేయమంటారు?","It's a bit cold, turn down the AC a little.","Okay, I'm turning down the AC. What temperature would you like me to set it to?"
తలుపు తెరవండి.,"క్షమించండి, భద్రతా కారణాల దృష్ట్యా డ్రైవ్ చేస్తున్నప్పుడు తలుపులు తెరవలేను.",Open the door.,"Sorry, I cannot open the doors while driving due to safety reasons."
నాకు ఆందోళనగా ఉంది.,మీరు ఆందోళనగా ఉన్నారని తెలుసుకున్నాను. ప్రశాంతంగా ఉండే ధ్యాన సంగీతం ప్లే చేయనా?,I am feeling anxious.,I understand that you are feeling anxious. Shall I play some calming meditation music?
లైట్లు కొంచెం ప్రకాశవంతంగా చేయండి.,"ఖచ్చితంగా, లైట్లను ప్రకాశవంతంగా చేస్తున్నాను.",Make the lights a little brighter.,"Sure, I am making the lights brighter."
విండోస్ కొంచెం తెరవండి.,విండోస్ ఎంత తెరవాలో చెప్పగలరా?,Open the windows a little.,Can you tell me how much to open the windows?
నాకు కోపంగా ఉంది.,మీరు కోపంగా ఉన్నారని తెలుసుకున్నాను. మీకు నచ్చిన మార్గంలో వెళ్ళడానికి నేను మార్గం మారుస్తాను.,I am angry.,I understand that you are angry. I will change the route to go the way you like.
గమ్యస్థానానికి నావిగేషన్ ప్రారంభించండి: రామోజీ ఫిల్మ్ సిటీ.,రామోజీ ఫిల్మ్ సిటీకి మార్గాన్ని ప్రారంభించాను. దారిలో ఉండండి.,Start navigation to the destination: Ramoji Film City.,I have started the route to Ramoji Film City. Stay safe on the way.
నాకు వేడిగా ఉంది.,మీకు వేడిగా ఉందని నాకు తెలుసు. నేను వెంటనే ఏసీని పెంచుతున్నాను.,I am feeling hot.,I know you are feeling hot. I am turning up the AC immediately.
బూట్‌ను తెరవండి.,"సరే, బూట్‌ను తెరుస్తున్నాను.",Open the boot.,"Okay, I am opening the boot."
కొంచెం వేగంగా వెళ్ళు.,"క్షమించండి, నేను చట్టబద్ధమైన వేగ పరిమితిని మించలేను.",Go a little faster.,"Sorry, I cannot exceed the legal speed limit."
హెడ్‌లైట్లను వెలిగించండి.,వెంటనే చేస్తున్నాను.,Turn on the headlights.,Turning them on right away.
నేను ఒంటరిగా ఉన్నాను.,మీరు ఒంటరిగా ఉన్నారని వినడానికి నేను విచారిస్తున్నాను. మిమ్మల్ని ఉత్తేజపరిచే కామెడీ పోడ్‌కాస్ట్ వేయనా?,I am lonely.,I am sorry to hear you are lonely. Shall I play a comedy podcast to cheer you up?
ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేయండి.,ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేశాను.,Set the temperature to 22 degrees.,I have set the temperature to 22 degrees.
పాట మార్చు.,"సరే, తర్వాతి పాట ప్లే చేస్తున్నాను.",Change the song.,"Okay, playing the next song."
మ్యూజిక్ వాల్యూమ్ పెంచు.,వాల్యూమ్ పెంచాను.,Increase the music volume.,I have increased the volume.
నాకు బోర్ కొడుతోంది.,మీకు బోర్ కొడుతోందని తెలుసుకున్నాను. కొత్త ప్రదేశానికి డ్రైవ్ చేద్దామా?,I am bored.,I understand you are bored. Shall we take a drive to a new place?
స్టాప్ చేయి.,"క్షమించండి, మీకు ఎక్కడ స్టాప్ చేయాలో చెప్పగలరా?",Stop.,"Sorry, can you tell me where you want me to stop?"
నాకు చాలా అలసిపోయింది,"మీకు అలసటగా ఉందని నాకు తెలుసు. సీటును కొంచెం వెనక్కి వాల్చి, రిలాక్సింగ్ మ్యూజిక్ ప్లే చేస్తాను.",I am very tired,I understand you're tired. I'll recline the seat a little and play some relaxing music.
నేను చాలా సంతోషంగా ఉన్నాను!,"అది వినడానికి చాలా ఆనందంగా ఉంది! మీకోసం ఫాస్ట్ బీట్ సాంగ్ ప్లే చేస్తాను, విండోలు కొంచెం తెరుస్తాను.",I am very happy!,That's wonderful to hear! I'll play a fast-beat song for you and open the windows a little.
నాకు చల్లగా ఉంది,మీకు చల్లగా ఉందని నాకు తెలుసు. ఉష్ణోగ్రతను కొంచెం పెంచుతాను.,I am cold,I understand you're cold. I'll increase the temperature a bit.
నేను ట్రాఫిక్ గురించి చాలా ఒత్తిడిలో ఉన్నాను,"ట్రాఫిక్ ఒత్తిడిని తగ్గించడానికి, వేరే మార్గం చూస్తాను మరియు ప్రశాంతమైన సంగీతం ప్లే చేస్తాను.",I am very stressed about the traffic,"To reduce traffic stress, I will find an alternate route and play some calming music."
సంగీతం ప్లే చేయండి,ఖచ్చితంగా! మీకు ఇష్టమైన పాటలు ప్లే చేయాలా లేదా రేడియో వినాలా?,Play music,Certainly! Would you like me to play your favorite songs or listen to the radio?
వెలుతురును తగ్గించండి,వెలుతురును తగ్గించాను. మరింత సౌకర్యంగా ఉందా?,Dim the lights,I have dimmed the lights. Is that more comfortable?
విండోలు తెరవండి,విండోలు కొంచెం తెరిచాను. గాలి బాగా వస్తుంది.,Open the windows,I have opened the windows a little. The air feels nice.
AC ని ఆన్ చేయండి,AC ఆన్ చేశాను. మీకు కావలసిన ఉష్ణోగ్రత చెప్పండి.,Turn on the AC,I have turned on the AC. Tell me your desired temperature.
ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేయండి,"సరే, ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేశాను.",Set the temperature to 22 degrees,"Okay, I have set the temperature to 22 degrees."
నాకు ఈ స్థలం గురించి తెలియదు. నావిగేషన్ ప్రారంభించండి.,"ఖచ్చితంగా, మీరు ఎక్కడికి వెళ్లాలనుకుంటున్నారో చెప్పండి.",I don't know this place. Start navigation.,"Certainly, tell me where you want to go."
నాకు ఆకలిగా ఉంది.,సరే! దగ్గరలో ఉన్న రెస్టారెంట్లను చూడాలా?,I am hungry.,Okay! Should I look for restaurants nearby?
నాకు దాహంగా ఉంది.,దగ్గరలోని ఏదైనా కాఫీ షాప్ లేదా సూపర్ మార్కెట్ కి వెళ్లమంటారా?,I am thirsty.,Would you like to go to a coffee shop or a supermarket nearby?
"కాస్త వేగంగా వెళ్లండి, ఆలస్యం అవుతోంది.","అలాగే, కానీ భద్రత ముఖ్యం. వేగాన్ని కొంచెం పెంచుతాను.","Drive a little faster, I am getting late.","Alright, but safety is important. I will increase the speed a little."
నేను బోర్ కొడుతున్నాను.,నేను మీకు ఏమైనా కథలు చెప్పనా లేదా గేమ్స్ ఆడనా?,I am bored.,Shall I tell you some stories or play some games with you?
నాకు కొంచెం వేడిగా ఉంది.,క్షమించండి. AC ని పెంచుతాను.,I am a little hot.,I am sorry. I will turn up the AC.
వాల్యూమ్ పెంచండి,"సరే, వాల్యూమ్ పెంచాను.",Increase the volume,"Okay, I have increased the volume."
తర్వాతి పాట ప్లే చేయండి.,తర్వాతి పాట ప్లే చేస్తున్నాను.,Play the next song.,Playing the next song.
నేను చాలా భయంగా ఉన్నాను.,మీకు భయంగా ఉందని నాకు తెలుసు. మీరు ప్రశాంతంగా ఉండేందుకు నేను మీకు ఏమి చేయగలను?,I am very scared.,I understand you are scared. What can I do to help you feel calm?
రూట్ మార్చండి.,సరే! మీరు కొత్త రూట్ ఎంచుకోవాలనుకుంటున్నారా?,Change the route.,Okay! Do you want to choose a new route?
నేను చాలా ఉత్సాహంగా ఉన్నాను!,చాలా సంతోషంగా ఉంది! మనం పార్టీకి వెళ్దామా! డ్రైవింగ్ మోడ్‌ను స్పోర్ట్‌గా మార్చుతున్నాను.,I am so excited!,That's great! Shall we go to a party! Switching driving mode to sport.
నాకు చాలా అలసటగా ఉంది.,అలసిపోయారా? సీటును వెనక్కి వాల్చాలా? మరియు రిలాక్సింగ్ మ్యూజిక్ ప్లే చేయాలా?,I am very tired.,"Tired, huh? Should I recline the seat and play some relaxing music?"
నేను చాలా సంతోషంగా ఉన్నాను!,అది వినడానికి చాలా ఆనందంగా ఉంది! కొంచెం ఉత్సాహంగా ఉండే పాటలు ప్లే చేయనా?,I am so happy!,That's great to hear! Should I play some upbeat music?
చాలా వేడిగా ఉంది.,ఖచ్చితంగా. AC ఆన్ చేసి ఉష్ణోగ్రతను తగ్గించనా?,It's very hot.,Sure thing. Should I turn on the AC and lower the temperature?
నాకు ఇష్టమైన పాటలు ప్లే చెయ్యి.,"ఖచ్చితంగా, మీ ఇష్టమైన పాటల జాబితాను ప్లే చేస్తున్నాను.",Play my favorite songs.,"Sure, playing your favorite songs list."
విండోస్ కొంచెం తెరవండి.,"ఖచ్చితంగా, విండోస్ కొంచెం తెరుస్తున్నాను.",Open the windows a little bit.,"Sure, opening the windows a little bit."
నాకు ఒత్తిడిగా ఉంది.,మీరు ఒత్తిడిగా ఉన్నట్లు వినడం విచారంగా ఉంది. మీకు ధ్యానం చేయడానికి సహాయపడే పాటలు ప్లే చేయనా?,I am stressed.,I am sorry to hear you're stressed. Should I play some music to help you meditate?
లైట్లు కొంచెం తగ్గించండి.,"ఖచ్చితంగా, లైట్లు తగ్గిస్తున్నాను.",Dim the lights a little.,"Sure, dimming the lights."
ఈ రోజు నా అదృష్టం ఎలా ఉంటుందో చెప్పు.,ఈరోజు మీరు చాలా సానుకూలంగా ఉంటారు. ముఖ్యమైన పనులను విజయవంతంగా పూర్తిచేస్తారు.,Tell me how my luck will be today.,Today you will be very positive. You will successfully complete important tasks.
దగ్గరలో ఉన్న రెస్టారెంట్ ఎక్కడ ఉంది?,సమీపంలో ఉన్న రెస్టారెంట్లు చూపిస్తాను. మీకు ఎలాంటి వంటకం కావాలి?,Where is the nearest restaurant?,Showing nearby restaurants. What kind of cuisine would you like?
ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేయండి.,"ఖచ్చితంగా, ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేస్తున్నాను.",Set the temperature to 22 degrees.,"Sure, setting the temperature to 22 degrees."
నేను ఇంటికి వెళ్ళాలి.,మీ ఇంటికి మార్గాన్ని సెట్ చేస్తున్నాను.,I need to go home.,Setting navigation to your home.
నేను జోకులు వినాలనుకుంటున్నాను.,"జోక్ చెప్పనా? నిరీక్షించండి, ఒకటి వెతుకుతున్నాను.",I want to hear a joke.,"Want me to tell a joke? Hold on, searching for one."
రేడియో ఆన్ చెయ్యి.,"ఖచ్చితంగా, ఏ స్టేషన్ ప్లే చేయాలి?",Turn on the radio.,"Sure, which station should I play?"
చాలా చల్లగా ఉంది.,ఖచ్చితంగా. ఉష్ణోగ్రతను పెంచనా?,It's very cold.,Sure. Should I raise the temperature?
నాకు నీరసంగా ఉంది.,"సరే, మీ కోసం ఉల్లాసంగా ఉండే పాటలు ప్లే చేస్తాను.",I am feeling down.,"Okay, I'll play some cheerful songs for you."
వాల్యూమ్ పెంచు.,"సరే, వాల్యూమ్ పెంచుతున్నాను.",Increase the volume.,"Okay, increasing the volume."
నిశ్శబ్దంగా ఉండు.,"సరే, నిశ్శబ్దంగా ఉంటాను.",Be quiet.,"Okay, I'll be quiet."
"గాలి బలంగా వీస్తుంది, కిటికీలు మూసేయ్.","అలాగేనండి, కిటికీలు మూసేస్తున్నాను.","The wind is blowing hard, close the windows.","Alright, closing the windows."
పనిచేసేటపుడు వినడానికి కొన్ని ఉత్సాహకరమైన పాటలను ప్లే చేయండి.,"కచ్చితంగా, మీకోసం ఉత్సాహకరమైన పాటల జాబితాను ప్లే చేస్తున్నాను.",Play some energetic songs to listen to while working.,"Certainly, playing a list of energetic songs for you."
నాకు భయంగా ఉంది.,భయంగా ఉందా? ధైర్యంగా ఉండడానికి ఏదైనా సహాయం చేయాలా?,I am feeling scared.,Feeling scared? Is there anything I can do to help you feel brave?
నాకు చాలా అలసటగా ఉంది.,"మీకు అలసటగా ఉందని తెలుసుకున్నందుకు బాధగా ఉంది. సీటును కొంచెం వంచి, రిలాక్సింగ్ మ్యూజిక్ ప్లే చేయనా?",I am very tired.,I am sorry to hear you're tired. Should I recline the seat a bit and play some relaxing music?
నేను చాలా సంతోషంగా ఉన్నాను!,అది వినడానికి చాలా సంతోషంగా ఉంది! మీ కోసం ఫాస్ట్ బీట్ మ్యూజిక్ ప్లే చేయనా?,I am very happy!,That's great to hear! Should I play some upbeat music for you?
నాకు చాలా ఒత్తిడిగా ఉంది.,"మీకు ఒత్తిడిగా ఉందని తెలుసుకున్నందుకు విచారంగా ఉంది. మీ కోసం లైట్లను తగ్గించి, శాంతించే సంగీతం ప్లే చేయనా?",I am very stressed.,I'm sorry to hear you're stressed. Should I dim the lights and play some calming music for you?
మ్యూజిక్ ప్లే చేయ్.,ఖచ్చితంగా. మీరు వినాలనుకుంటున్నది ఏదైనా ఉందా?,Play some music.,Sure. Is there anything specific you'd like to listen to?
ఎ.సి. ని ఆన్ చేయ్.,సరే. ఎ.సి. ఆన్ చేయబడింది. ఉష్ణోగ్రతను ఎంతకు సెట్ చేయాలి?,Turn on the AC.,Okay. The AC is on. What temperature should I set it to?
కిటికీలు తెరవండి.,రెండు ముందు కిటికీలను తెరుస్తున్నాను.,Open the windows.,Opening the two front windows.
ఉష్ణోగ్రతను 22 డిగ్రీల సెల్సియస్‌కు సెట్ చేయండి.,ఉష్ణోగ్రతను 22 డిగ్రీల సెల్సియస్‌కు సెట్ చేస్తున్నాను.,Set the temperature to 22 degrees Celsius.,Setting the temperature to 22 degrees Celsius.
నేను ఇంటికి వెళ్ళాలి.,సరే. హోమ్ నావిగేషన్‌ను ప్రారంభిస్తున్నాను.,I need to go home.,Okay. Starting home navigation.
లైట్లు కొంచెం ప్రకాశవంతం చేయండి.,లైట్లను ప్రకాశవంతం చేస్తున్నాను.,Make the lights a bit brighter.,Brightening the lights.
నాకు చలిగా ఉంది.,మీకు చలిగా ఉందని నాకు అర్థమైంది. ఉష్ణోగ్రతను పెంచనా?,I am feeling cold.,I understand you are feeling cold. Should I increase the temperature?
నాకు వేడిగా ఉంది.,మీకు వేడిగా ఉందని నాకు అర్థమైంది. ఉష్ణోగ్రతను తగ్గించనా?,I am feeling hot.,I understand you are feeling hot. Should I decrease the temperature?
కొంచెం విశ్రాంతి సంగీతం ప్లే చేయండి.,ఖచ్చితంగా. విశ్రాంతి సంగీతం ప్లే చేస్తున్నాను.,Play some relaxing music.,Sure. Playing relaxing music.
నాకు కోపంగా ఉంది.,మీకు కోపంగా ఉందని తెలుసుకున్నందుకు నాకు బాధగా ఉంది. మీరు ఒక లోతైన శ్వాస తీసుకోవడానికి నేను సూచిస్తున్నాను. ఏదైనా సహాయం చేయగలనా?,I am angry.,I am sorry to hear you are angry. I suggest you take a deep breath. Is there anything I can do to help?
సంగీతం ఆపు.,సంగీతం ఆపబడింది.,Stop the music.,The music has been stopped.
సమీపంలోని రెస్టారెంట్లకు నావిగేట్ చేయండి.,సమీపంలోని రెస్టారెంట్ల కోసం వెతుకుతున్నాను. దారి చూపుతున్నాను.,Navigate to nearby restaurants.,Searching for nearby restaurants. Providing directions.
నేను చాలా ఆత్రుతగా ఉన్నాను.,మీకు ఆత్రుతగా ఉందని వినడానికి విచారంగా ఉంది. మీకోసం కూల్ మ్యూజిక్ ప్లే చేయాలా?,I'm very anxious.,I'm sorry to hear you're anxious. Would you like me to play some calm music for you?
ఎ.సి ఆఫ్ చేయ్.,ఎ.సి ఆఫ్ చేయబడింది.,Turn off the AC.,The AC has been turned off.
కిటికీలు మూసివేయండి.,కిటికీలు మూసివేయబడుతున్నాయి.,Close the windows.,Closing the windows.
వాల్యూమ్ తగ్గించండి.,వాల్యూమ్ తగ్గించబడింది.,Turn down the volume.,The volume has been turned down.
వాల్యూమ్ పెంచండి.,వాల్యూమ్ పెంచబడింది.,Turn up the volume.,The volume has been turned up.
నాకు చాలా అలసటగా ఉంది.,మీకు అలసటగా ఉందని తెలుసుకున్నాను. సీటును కొంచెం వెనక్కి వాల్చనా మరియు లైటింగ్ తగ్గించనా?,I am very tired.,I understand you are tired. Should I recline the seat a little and dim the lighting?
కొంచెం మంచి పాటలు పెట్టు.,ఖచ్చితంగా! మీ కోసం పాపులర్ పాటల ప్లేలిస్ట్ ప్లే చేస్తున్నాను.,Play some good songs.,Sure! Playing a playlist of popular songs for you.
ఎక్కువ చలిగా ఉంది. ఏసీ తగ్గించు.,"ఖచ్చితంగా, ఏసీని తగ్గిస్తున్నాను. ఇప్పుడు ఎలా ఉంది?",It's too cold. Turn down the AC.,"Sure, I'm turning down the AC. How is it now?"
నాకు నవ్వు వస్తుంది!,అది వినడానికి నాకు సంతోషంగా ఉంది! మీ ప్రయాణాన్ని మరింత ఆనందంగా మార్చడానికి నేను ఏమి చేయగలను?,I'm laughing!,I'm happy to hear that! What can I do to make your journey even more enjoyable?
నాకు ఇప్పుడు ఇంటికి వెళ్లాలి. నావిగేషన్ సెట్ చెయ్యి.,"సరే, ఇంటికి నావిగేషన్ సెట్ చేశాను. చేరడానికి సుమారు 30 నిమిషాలు పడుతుంది.",I want to go home now. Set navigation.,"Okay, I have set the navigation to home. It will take approximately 30 minutes to reach."
నాకు చాలా ఆందోళనగా ఉంది.,మీరు ఆందోళనగా ఉన్నారని వినడానికి నాకు విచారంగా ఉంది. మీకు విశ్రాంతి కలిగించడానికి నేను ఏమి చేయగలను?,I am very anxious.,I'm sorry to hear that you are anxious. What can I do to help you relax?
లైట్లు కొంచెం ఎక్కువ వెలుగు వచ్చేలా చేయి.,"ఖచ్చితంగా, లైట్లు పెంచుతున్నాను.",Make the lights a little brighter.,"Sure, I'm increasing the brightness of the lights."
విండోస్ అన్ని మూసేయి.,"సరే, విండోస్ అన్ని మూసేస్తున్నాను.",Close all the windows.,"Okay, I'm closing all the windows."
వాతావరణం చాలా వేడిగా ఉంది. చల్లగా చెయ్యి.,"ఖచ్చితంగా, ఉష్ణోగ్రతను తగ్గిస్తున్నాను.",The weather is too hot. Make it cooler.,"Sure, I'm lowering the temperature."
నాకు చాలా సంతోషంగా ఉంది!,అది వినడానికి చాలా సంతోషంగా ఉంది! నేను మీ కోసం మరింత శక్తివంతమైన పాటలు ప్లే చేయనా?,I am very happy!,I'm very happy to hear that! Should I play some more energetic songs for you?
మార్గం మార్చు. నాకు ఈ దారి వద్దు.,"సరే, ప్రత్యామ్నాయ మార్గం కోసం వెతుకుతున్నాను. దొరికిన తర్వాత మీకు తెలియజేస్తాను.",Change the route. I don't want this way.,"Okay, I'm searching for an alternative route. I'll let you know when I find one."
రేడియో ఆన్ చెయ్యి.,ఏ స్టేషన్ ప్లే చేయమంటారు?,Turn on the radio.,Which station would you like me to play?
టెంపరేచర్ 22 డిగ్రీలకి సెట్ చెయ్యి.,"ఖచ్చితంగా, ఉష్ణోగ్రతను 22 డిగ్రీలకి సెట్ చేస్తున్నాను.",Set the temperature to 22 degrees.,"Sure, I'm setting the temperature to 22 degrees."
కొంచెం నిశ్శబ్దంగా ఉండు.,"సరే, క్షమించండి. నేను మరింత నిశ్శబ్దంగా ఉంటాను.",Be a little quieter.,"Okay, I'm sorry. I'll be quieter."
నాకు విసుగ్గా ఉంది.,మీకు విసుగ్గా ఉందా? నేను ఒక జోక్ చెప్పనా?,I'm bored.,You are bored? Should I tell you a joke?
బయట చాలా వెలుతురుగా ఉంది. కప్పు మూసేయి.,"సరే, కప్పు మూసేస్తున్నాను.",It's too bright outside. Close the sunroof.,"Okay, I'm closing the sunroof."
ఎక్కువగా మాట్లాడకు.,"సరే, ఇక మాట్లాడను.",Don't talk so much.,"Okay, I won't talk anymore."
నాకు కాఫీ కావాలి. దగ్గరలో ఉన్న కాఫీ షాప్ కి నావిగేషన్ సెట్ చెయ్యి.,దగ్గరలో ఉన్న కాఫీ షాప్ కోసం వెతుకుతున్నాను మరియు నావిగేషన్ సెట్ చేస్తున్నాను.,I need coffee. Set navigation to the nearest coffee shop.,Searching for the nearest coffee shop and setting navigation.
ఈ పాట నాకు నచ్చలేదు. మార్చు.,"సరే, తర్వాతి పాట ప్లే చేస్తున్నాను.",I don't like this song. Change it.,"Okay, playing the next song."
నాకు చాలా భయంగా ఉంది.,మీకు భయంగా ఉందా? మిమ్మల్ని శాంతపరచడానికి నేను ఏదైనా చేయగలనా?,I'm very scared.,Are you scared? Is there anything I can do to calm you down?
నేను చాలా అలసిపోయాను.,"మీరు అలసిపోయారని వినడానికి నాకు బాధగా ఉంది. సీటును కొద్దిగా వంచి, వెచ్చని లైటింగ్ పెడతాను. ఇది మీకు హాయిగా అనిపిస్తుంది.",I am very tired.,I'm sorry to hear you're tired. I'll recline the seat slightly and put on warm lighting. That should make you feel comfortable.
నాకు సంతోషంగా ఉంది!,అద్భుతం! మీ సంతోషాన్ని మరింత పెంచడానికి ఫాస్ట్ బీట్ మ్యూజిక్ ప్లే చేస్తాను.,I am happy!,Fantastic! I'll play some upbeat music to enhance your happiness.
నాకు కోపంగా ఉంది.,మీరు కోపంగా ఉన్నారు అని తెలిసింది. శాంతంగా ఉండేందుకు నేను ఏదైనా చేయగలనా? కావాలంటే తెల్లటి శబ్దం ప్లే చేస్తాను.,I am angry.,I understand you're angry. Is there anything I can do to help you calm down? I can play some white noise if you like.
AC ఆన్ చేయి.,"ఖచ్చితంగా, AC ఆన్ చేశాను. కావలసిన ఉష్ణోగ్రతను చెప్పండి.",Turn on the AC.,"Sure, I've turned on the AC. Please tell me your desired temperature."
ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేయి.,ఉష్ణోగ్రత 22 డిగ్రీలకు సెట్ చేయబడింది.,Set the temperature to 22 degrees.,Temperature set to 22 degrees.
రేడియో ప్లే చేయి.,ఖచ్చితంగా! మీరు ఏ స్టేషన్ వినాలనుకుంటున్నారో చెప్పండి లేదా నేను మీకు ఒకదాన్ని ఎంచుకోమంటారా?,Play the radio.,"Sure! Tell me which station you want to listen to, or would you like me to choose one for you?"
వాల్యూమ్ పెంచు.,వాల్యూమ్ పెంచాను.,Increase the volume.,Volume increased.
కిటికీలు తెరువు.,కిటికీలు తెరుస్తున్నాను.,Open the windows.,Opening the windows.
నావిగేషన్ ఆన్ చేయి. విజయవాడకు వెళ్ళు.,విజయవాడకు నావిగేషన్ ఆన్ చేయబడింది.,Turn on navigation. Go to Vijayawada.,Navigation to Vijayawada is turned on.
నేను భయపడుతున్నాను.,మీరు భయపడుతున్నారని వినడానికి నాకు విచారంగా ఉంది. మీ కోసం సురక్షితమైన డ్రైవింగ్ మోడ్‌ను ఆన్ చేస్తాను మరియు దగ్గరలోని సహాయ కేంద్రానికి నావిగేట్ చేస్తాను.,I am scared.,I'm sorry to hear you're scared. I'll turn on safe driving mode for you and navigate to the nearest help center.
నేను ఒత్తిడికి గురవుతున్నాను.,"నేను మిమ్మల్ని అర్థం చేసుకున్నాను. ఒక నిమిషం ఆగి, కొన్ని శ్వాస వ్యాయామాలు చేద్దామా?",I am stressed.,I understand. Should we pull over for a minute and do some breathing exercises?
లైట్లు వెలిగించు.,లైట్లు వెలిగించాను.,Turn on the lights.,Lights turned on.
నేను నిద్రపోతున్నాను.,మీరు నిద్రపోతున్నారని గ్రహించాను. దయచేసి పక్కకు ఆపండి. దగ్గరలో విశ్రాంతి స్థలం కోసం వెతకనా?,I am falling asleep.,I detect that you are falling asleep. Please pull over. Should I look for a rest stop nearby?
పాట మార్చు.,తప్పకుండా! తర్వాతి పాట.,Change the song.,Certainly! Next song.
ఎంత దూరం ఉంది?,గమ్యానికి ఇంకా 2 గంటల ప్రయాణం ఉంది.,How much further is it?,There is still a 2-hour journey to the destination.
ఇంధనం తక్కువగా ఉంది.,మీరు చెప్పింది విన్నాను. దగ్గరలోని గ్యాస్ స్టేషన్ కోసం వెతుకుతున్నాను.,Fuel is low.,I heard you. Searching for the nearest gas station.
వాల్యూమ్ తగ్గించు.,"సరే, వాల్యూమ్ తగ్గించాను.",Decrease the volume.,"Okay, volume decreased."
సంగీతం ఆఫ్ చేయి.,సంగీతం ఆఫ్ చేశాను.,Turn off the music.,Music turned off.
చల్లగా ఉంది.,మీరు చల్లగా ఫీల్ అవుతున్నారని నాకు తెలుసు. హీటర్ ఆన్ చేస్తాను.,I am feeling cold.,I know you are feeling cold. I will turn on the heater.
నేను బోర్ కొడుతున్నాను.,మీకు బోర్ కొడుతుందని వినడానికి నాకు విచారంగా ఉంది. సమీపంలోని ఆసక్తికర ప్రదేశాలను సూచించమంటారా?,I am bored.,I'm sorry to hear you're bored. Would you like me to suggest some interesting places nearby?
నేను చాలా అలసిపోయాను.,మీరు అలసిపోయారని తెలుసుకున్నాను. సీటు కొంచెం వెనక్కి వంచనా మరియు రిలాక్సింగ్ మ్యూజిక్ ప్లే చేయనా?,I am very tired.,I understand you are tired. Should I recline the seat a little and play relaxing music?
చాలా సంతోషంగా ఉంది.,అది వినడానికి చాలా ఆనందంగా ఉంది! మీకు నచ్చిన పాట ప్లే చేయనా?,I am very happy.,That's wonderful to hear! Should I play your favorite song?
చాలా కోపంగా ఉంది.,మీరు కోపంగా ఉన్నారని తెలుసుకున్నాను. శాంతపరచడానికి సహాయపడే ఏదైనా పాట పెట్టనా లేదా డ్రైవింగ్ మోడ్ ని మార్చనా?,I am very angry.,I understand you are angry. Should I play a calming song or change the driving mode?
నాకు ఒత్తిడిగా ఉంది.,మీకు ఒత్తిడిగా ఉందని తెలుసుకున్నాను. ఒక చిన్న విరామం తీసుకుందామా? దగ్గరలో ఒక కాఫీ షాప్ కోసం వెతకనా?,I am stressed.,I understand you are stressed. Should we take a short break? Should I look for a coffee shop nearby?
సంగీతం పెట్టు.,తప్పకుండా! ఏ రకమైన సంగీతం కావాలి?,Play music.,Sure! What kind of music would you like?
లైట్లు కొంచెం తగ్గించు.,తగ్గించాను. ఇంకా తగ్గించాలా?,Dim the lights a little.,Dimmed. Should I dim them further?
కిటికీలు తెరవండి.,ఎన్ని కిటికీలు తెరవాలి?,Open the windows.,How many windows should I open?
